course,lecturer,group,classroom
Międzynarodowe zarządzanie finansami,Dr. Anna Lewandowska,TNW.AG3.GVN.7332.DQB,H236
Budowanie marki online,Mgr. Tomasz Nowakiewicz,BFN.OF8.PWR.0279.RWQ,E353
Modelowanie finansowe,Prof. Marek Wójcik,OOG.CU9.LTX.5149.CYJ,B135
Tworzenie treści cyfrowych,Dr hab. Katarzyna Kamiński,QSC.TR2.PPG.1283.PVD,H251
Zarządzanie polem namiotowym,Mgr. Jan Wiśniewski,SZY.OR3.WYO.6406.MXZ,H101
Transformacja cyfrowa,Prof. Zofia Kowalska,TJV.BQ7.GMX.2994.NOH,B384
Zarządzanie zmianą,Dr hab. Andrzej Wójcik,VVK.PE9.VAU.7412.MSK,E186
Zarządzanie innowacjami,Dr. Anna Zielińska,SGT.TY6.GYI.6888.DBD,C320
Studia kulturowe,Dr hab. Ewa Zielińska,UIK.YG2.MZB.0483.FSE,B198
Zarządzanie transportem kolejowym,Mgr. Maria Kamińska,JSI.BX2.UAJ.4340.SGP,D280
Ekonomia nieruchomości,Mgr. Zofia Kowalska,CXC.RY5.YNN.8006.FCS,C379
Różnorodność w miejscu pracy,Inż. Zofia Dąbrowska,QSE.BX6.RDZ.3792.YNU,F124
Rozwój produktu,Prof. Tomasz Wójcik,PBQ.CO9.RRX.4565.HAO,E186
Zarządzanie transportem kolejowym,Dr hab. Ewa Zielińska,QSE.BX6.RDZ.3792.YNU,B209
Analiza sprawozdań finansowych,Dr. Zofia Lewandowska,OFP.WJ0.LRJ.9559.RJH,A242
Zarządzanie danymi klientów,Inż. Piotr Lewandowski,TXE.TR0.JGS.5994.WSD,F328
Zielony łańcuch dostaw,Dr hab. Katarzyna Kamiński,SBW.SS1.DHE.0691.GYW,A208
Zarządzanie portfelem,Inż. Katarzyna Dąbrowska,UWR.OR4.NYJ.8726.KYV,D255
Podstawy zarządzania polem namiotowym,Mgr. Katarzyna Szymańska,VQP.LJ5.WEO.1716.XWJ,E233
Analiza ruchu w sieci,Dr hab. Zofia Szymanowska,SQP.BM5.PGL.5320.VYF,E381
Gospodarka cyfrowa,Prof. Piotr Kowalski,BNT.IW7.OSL.3405.NVE,H235
Strategie cenowe,Mgr. Piotr Kamiński,BNT.IW7.OSL.3405.NVE,E186
Strategia korporacyjna,Prof. Maria Woźniak,XQD.MI2.CVZ.9064.MCT,B384
Zarządzanie zdrowiem i bezpieczeństwem,Dr. Marek Lewandowski,OUP.UT9.PJN.3348.FCR,B165
Prezentacje i wystąpienia publiczne,Prof. Zofia Zielińska,EPJ.NN9.ETJ.0333.BAJ,H361
Sieci komputerowe,Inż. Anna Kowalska,YPI.UT8.WNQ.9042.LCR,G104
Wprowadzenie do makroekonomii,Inż. Katarzyna Dąbrowska,VYS.XC2.XEW.5584.LDS,E211
Socjologia organizacji,Prof. Anna Nowak,TML.NS4.BCX.5709.BLF,F205
Negocjacje i rozwiązywanie konfliktów,Mgr. Piotr Dąbrowski,EDK.VE5.MBM.5514.LJK,C105
Efektywne przywództwo zespołowe,Mgr. Katarzyna Szymańska,JEA.JB5.MHM.9323.KHY,B193
